EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     26              29          0.896552

Graph Name                    Results  Reason
--------------------------  ---------  ----------------------
idArea1_subgraph                   48  Successfully generated
idBear1_subgraph                 1352  Successfully generated
idBumper1_subgraph               1098  Successfully generated
idBush1_subgraph                   20  Successfully generated
idCar1_subgraph                  1699  Successfully generated
idCarDoor1_subgraph              1450  Successfully generated
idCarKey1_subgraph                960  Successfully generated
idClearing1_subgraph              480  Successfully generated
idCrowbar1_subgraph                 0  ERG did not generate
idDen1_subgraph                    10  Successfully generated
idHorse1_subgraph                  10  Successfully generated
idLock1_subgraph                  920  Successfully generated
idMan1_subgraph                    72  Successfully generated
idPassenger1_subgraph              10  Successfully generated
idPlayerBackside_subgraph         628  Successfully generated
idPlayerLeftHand_subgraph        2397  Successfully generated
idPlayerRightHand_subgraph         96  Successfully generated
idPlayer_subgraph                  60  Successfully generated
idSideMirror1_subgraph              0  Graph contains cycles
idBear1_subgraph_isInsideOf_6              True            MRS composed                            True               Included in MRS
idBear1_subgraph_isNear_7                  True            MRS composed                            True               Included in MRS
idBear1_subgraph_isSouthOf_4               True            MRS composed                            True               Included in MRS
idBear1_subgraph_isWestOf_5                True            MRS composed                            True               Included in MRS
idBumper1_subgraph_idColor_2               True            MRS composed                            True               Included in MRS
idBumper1_subgraph_idUnknownObject_3       True            MRS composed                            True               Included in MRS
idBumper1_subgraph_isInsideOf_1            True            MRS composed                            True               Included in MRS
idBumper1_subgraph_isNear_1                True            MRS composed                            True               Included in MRS
idBumper1_subgraph_isNear_2                True            MRS composed                            True               Included in MRS
idBush1_subgraph_idColor_1                 True            MRS composed                            True               Included in MRS
idBush1_subgraph_idImmovable_2             True            MRS composed                            True               Included in MRS
idCar1_subgraph_idColor_1                  True            MRS composed                            True               Included in MRS
idCar1_subgraph_idDescriptor_2             True            MRS composed                            True               Included in MRS
idCar1_subgraph_idImmovable_3              True            MRS composed                            True               Included in MRS
idCar1_subgraph_idLitState_4               True            MRS composed                            True               Included in MRS
idCar1_subgraph_isEastOf_4                 True            MRS composed                            True               Included in MRS
idCar1_subgraph_isWestOf_5                 True            MRS composed                            True               Included in MRS
