EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     13              15          0.866667

Graph Name                              Results  Reason
------------------------------------  ---------  ----------------------
idDesk1_subgraph                            800  Successfully generated
idDrawer1_subgraph                          640  Successfully generated
idGameRoom1BackOpening_subgraph              30  Successfully generated
idGameRoom1_subgraph                        360  Successfully generated
idKeyBlue_subgraph                           10  Successfully generated
idPlayerBackside_subgraph                   288  Successfully generated
idPlayerLeftHand_subgraph                  1206  Successfully generated
idPlayerRightHand_subgraph                  296  Successfully generated
idPlayer_subgraph                             0  Graph contains cycles
idSign1Text_subgraph                         12  Successfully generated
idSign1_subgraph                            671  Successfully generated
idTutorialRoom1Door_subgraph                  0  Graph contains cycles
idTutorialRoom1FrontOpening_subgraph         30  Successfully generated
idTutorialRoom1_subgraph                   1200  Successfully generated
idWorld1_subgraph                          1376  Successfully generated

Graph Component    Metric      Successful    Total    Coverage
idKeyBlue_subgraph_idColor_1                  True            MRS composed                               True               Included in MRS
idKeyBlue_subgraph_idUnknownObject_2          False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idPlayerBackside_subgraph_isSouthOf_1         True            MRS composed                               True               Included in MRS
idPlayerLeftHand_subgraph_idLocation_1        True            MRS composed                               True               Included in MRS
idPlayerLeftHand_subgraph_idLockMechanism_3   True            MRS composed                               True               Included in MRS
idPlayerLeftHand_subgraph_idOpenState_2       True            MRS composed                               True               Included in MRS
idPlayerLeftHand_subgraph_isSouthOf_4         True            MRS composed                               True               Included in MRS
idPlayerRightHand_subgraph_idLocation_1       True            MRS composed                               True               Included in MRS
idPlayerRightHand_subgraph_idUnknownObject_2  False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idPlayerRightHand_subgraph_isNear_5           True            MRS composed                               True               Included in MRS
idPlayerRightHand_subgraph_isNear_6           True            MRS composed                               True               Included in MRS
idPlayerRightHand_subgraph_isNorthOf_3        True            MRS composed                               True               Included in MRS
idPlayerRightHand_subgraph_isSouthOf_4        True            MRS composed                               True               Included in MRS
idSign1_subgraph_idImmovable_1                False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idSign1_subgraph_idLockMechanism_4            True            MRS composed                               True               Included in MRS
idSign1_subgraph_idOpenState_3                True            MRS composed                               True               Included in MRS
idSign1_subgraph_idUnknownObject_2            False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idSign1_subgraph_isNear_6                     True            MRS composed                               True               Included in MRS
