EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     26              29          0.896552

Graph Name                    Results  Reason
--------------------------  ---------  ----------------------
idArea1_subgraph                   48  Successfully generated
idBear1_subgraph                 1133  Successfully generated
idPlayer_subgraph_idDen_3                       True            MRS fragment produced                   True               Included in MRS
idPlayer_subgraph_idPlayer_1                    True            MRS fragment produced                   True               Included in MRS
idSmoke1_subgraph_idBear_3                      True            MRS fragment produced                   True               Included in MRS
idSmoke1_subgraph_idSmoke_1                     True            MRS fragment produced                   True               Included in MRS
idSmoke1_subgraph_large_4                       True            MRS fragment produced                   True               Included in MRS
idSmoke1_subgraph_yes_2                         True            MRS fragment produced                   False              Descends from failed edge
idSmoke1_subgraph_yes_5                         True            MRS fragment produced                   False              Descends from failed edge
idSpill1_subgraph_black_2                       True            MRS fragment produced                   True               Included in MRS
idSpill1_subgraph_idDen_4                       True            MRS fragment produced                   True               Included in MRS
idSpill1_subgraph_idSpill_1                     True            MRS fragment produced                   True               Included in MRS
idSpill1_subgraph_yes_3                         True            MRS fragment produced                   False              Descends from failed edge
idStump1_subgraph_black_10                      True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_chopped_3                     True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_hollow_2                      True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_idBush_8                      True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_idFace_7                      False           'idFace' has no value in the lexicon    False              'idFace' has no value in the lexicon
idStump1_subgraph_idSideMirror_5                True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_idStump_1                     True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_idTire_9                      True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_shiny_6                       True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_yes_4                         True            MRS fragment produced                   False              Descends from failed edge
idTheCar1_subgraph_idTheCar_1                   True            MRS fragment produced                   True               Included in MRS
idTheCarRoom1_subgraph_green_4                  True            MRS fragment produced                   True               Included in MRS
idTheCarRoom1_subgraph_idBush_3                 True            MRS fragment produced                   True               Included in MRS
idTheCarRoom1_subgraph_idCrowbar_6              True            MRS fragment produced                   True               Included in MRS
idTheCarRoom1_subgraph_idTheCarRoom_1           True            MRS fragment produced                   True               Included in MRS
idTheCarRoom1_subgraph_smoky_2                  True            MRS fragment produced                   True               Included in MRS
idTheCarRoom1_subgraph_yes_5                    True            MRS fragment produced                   False              Descends from failed edge
