EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     10              16             0.625

Graph Name                    Results  Reason
--------------------------  ---------  ----------------------
idBottle1_subgraph               1630  Successfully generated
idBranch1_subgraph               2103  Successfully generated
idCave1_subgraph                   60  Successfully generated
idClearing1_subgraph                0  ERG did not generate
idGlowingArea1_subgraph           624  Successfully generated
idGlowingFlower1_subgraph          90  Successfully generated
idGlowingGrass1_subgraph            0  ERG did not generate
idGrass1_subgraph                   0  ERG did not generate
idPebble1_subgraph                700  Successfully generated
idPlayerBackside_subgraph         800  Successfully generated
idPlayerLeftHand_subgraph           0  Graph contains cycles
idPlayerRightHand_subgraph         96  Successfully generated
idPlayer_subgraph                2000  Successfully generated
idRockPile1_subgraph             1152  Successfully generated
idRockyArea1_subgraph               0  Graph contains cycles
idTheTrees1_subgraph                0  Graph contains cycles

Graph Component    Metric      Successful    Total    Coverage
idBottle1_subgraph_idIntegrity_1             True            MRS composed                             True               Included in MRS
idBottle1_subgraph_isNear_8                  True            MRS composed                             True               Included in MRS
idBottle1_subgraph_isWestOf_5                True            MRS composed                             True               Included in MRS
idBranch1_subgraph_idColor_1                 True            MRS composed                             True               Included in MRS
idBranch1_subgraph_idDescriptor_3            True            MRS composed                             True               Included in MRS
idBranch1_subgraph_idImmovable_2             True            MRS composed                             True               Included in MRS
idBranch1_subgraph_isNorthOf_5               True            MRS composed                             True               Included in MRS
idBranch1_subgraph_isSouthOf_4               True            MRS composed                             True               Included in MRS
idCave1_subgraph_idDescriptor_2              True            MRS composed                             True               Included in MRS
idCave1_subgraph_idTint_1                    True            MRS composed                             True               Included in MRS
idCave1_subgraph_isNorthOf_3                 True            MRS composed                             True               Included in MRS
idClearing1_subgraph_idArticleType_3         True            MRS composed                             True               Included in MRS
idClearing1_subgraph_idDescriptor_1          True            MRS composed                             True               Included in MRS
idClearing1_subgraph_idImmovable_2           True            MRS composed                             True               Included in MRS
idClearing1_subgraph_isNorthOf_5             True            MRS composed                             True               Included in MRS
idClearing1_subgraph_isSouthOf_4             True            MRS composed                             True               Included in MRS
idGlowingArea1_subgraph_idDescriptor_1       True            MRS composed                             True               Included in MRS
idGlowingArea1_subgraph_isSouthOf_2          True            MRS composed                             True               Included in MRS
idGlowingFlower1_subgraph_idColor_2          True            MRS composed                             True               Included in MRS
idGlowingFlower1_subgraph_idDescriptor_1     True            MRS composed                             True               Included in MRS
idGlowingFlower1_subgraph_idUnknownObject_3  True            MRS composed                             True               Included in MRS
idGlowingGrass1_subgraph_idArticleType_1     True            MRS composed                             True               Included in MRS
idGlowingGrass1_subgraph_idColor_2           True            MRS composed                             True               Included in MRS
idGlowingGrass1_subgraph_idDescriptor_4      True            MRS composed                             True               Included in MRS
idGlowingGrass1_subgraph_idImmovable_3       True            MRS composed                             True               Included in MRS
idGlowingGrass1_subgraph_isNear_6            True            MRS composed                             True               Included in MRS
idGlowingGrass1_subgraph_isSouthOf_5         True            MRS composed                             True               Included in MRS
idGrass1_subgraph_idArticleType_3            True            MRS composed                             True               Included in MRS
idGrass1_subgraph_idColor_2                  True            MRS composed                             True               Included in MRS
idGrass1_subgraph_idColor_4                  True            MRS composed                             True               Included in MRS
idGrass1_subgraph_idHeight_1                 True            MRS composed                             True               Included in MRS
idGrass1_subgraph_idImmovable_5              True            MRS composed                             True               Included in MRS
idGrass1_subgraph_isEastOf_6                 True            MRS composed                             True               Included in MRS
idPebble1_subgraph_idColor_1                 True            MRS composed                             True               Included in MRS
idPebble1_subgraph_idDescriptor_2            True            MRS composed                             True               Included in MRS
idPebble1_subgraph_idDescriptor_3            True            MRS composed                             True               Included in MRS
idPebble1_subgraph_isWestOf_4                True            MRS composed                             True               Included in MRS
idPlayerBackside_subgraph_idTint_1           True            MRS composed                             True               Included in MRS
idPlayerBackside_subgraph_isEastOf_2         True            MRS composed                             True               Included in MRS
idPlayerBackside_subgraph_isSouthOf_3        True            MRS composed                             True               Included in MRS
idPlayerRightHand_subgraph_idLocation_1      True            MRS composed                             True               Included in MRS
idPlayer_subgraph_idBottleFound_1            False           'idBottleFound' has no value in lexicon  False              'idBottleFound' has no value in lexicon
idPlayer_subgraph_idColor_5                  True            MRS composed                             True               Included in MRS
idPlayer_subgraph_idDescriptor_2             True            MRS composed                             True               Included in MRS
idPlayer_subgraph_idDescriptor__4            True            MRS composed                             True               Included in MRS
idPlayer_subgraph_isEastOf_3                 True            MRS composed                             True               Included in MRS
idPlayer_subgraph_isEastOf_6                 True            MRS composed                             True               Included in MRS
idRockPile1_subgraph_idColor_1               True            MRS composed                             True               Included in MRS
idRockPile1_subgraph_idDescriptor_2          True            MRS composed                             True               Included in MRS
idRockPile1_subgraph_idDescriptor_4          True            MRS composed                             True               Included in MRS
idRockPile1_subgraph_idDescriptor_7          True            MRS composed                             True               Included in MRS
idRockPile1_subgraph_idImmovable_3           True            MRS composed                             True               Included in MRS
idRockPile1_subgraph_isNear_6                True            MRS composed                             True               Included in MRS
idRockPile1_subgraph_isWestOf_5              True            MRS composed                             True               Included in MRS
idRockPile1_subgraph_isWestOf_8              True            MRS composed                             True               Included in MRS
